likes	quote
101792	“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
40326	“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
31956	“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”
25794	“If you can't explain it to a six year old, you don't understand it yourself.”
21812	“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”
21621	“Logic will get you from A to Z; imagination will get you everywhere.”
18708	“Life is like riding a bicycle. To keep your balance, you must keep moving.”
15392	“Anyone who has never made a mistake has never tried anything new.”
11578	“I speak to everyone in the same way, whether he is the garbage man or the president of the university.”
8997	“When you are courting a nice girl an hour seems like a second. When you sit on a red-hot cinder a second seems like an hour. That's relativity.”
8637	“Never memorize something that you can look up.”
8247	“A clever person solves a problem. A wise person avoids it.”
7924	“Science without religion is lame, religion without science is blind.”
7656	“Reality is merely an illusion, albeit a very persistent one.”
7211	“If we knew what it was we were doing, it would not be called research, would it?”
7030	“I have no special talents. I am only passionately curious.”
6579	“If a cluttered desk is a sign of a cluttered mind, of what, then, is an empty desk a sign?”
5571	"“The important thing is to not stop questioning. Curiosity has its own reason for existence. One cannot help but be in awe when he contemplates the mysteries of eternity, of life, of the marvelous structure of reality. It is enough if one tries merely to comprehend a little of this mystery each day.—""Old Man's Advice to Youth: 'Never Lose a Holy Curiosity.'"" LIFE Magazine (2 May 1955) p. 64”"
5519	“Try not to become a man of success. Rather become a man of value.”
5297	“A human being is a part of the whole called by us universe, a part limited in time and space. He experiences himself, his thoughts and feeling as something separated from the rest, a kind of optical delusion of his consciousness. This delusion is a kind of prison for us, restricting us to our personal desires and to affection for a few persons nearest to us. Our task must be to free ourselves from this prison by widening our circle of compassion to embrace all living creatures and the whole of nature in its beauty.”
5029	“Any fool can know. The point is to understand.”
4690	“Once you can accept the universe as matter expanding into nothing that is something, wearing stripes with plaid comes easy.”
4473	“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”
4332	“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
4085	“I know not with what weapons World War III will be fought, but World War IV will be fought with sticks and stones.”
3981	“You never fail until you stop trying.”
3958	“Great spirits have always encountered violent opposition from mediocre minds.”
3750	“Gravitation is not responsible for people falling in love.”
3738	“The most beautiful experience we can have is the mysterious. It is the fundamental emotion that stands at the cradle of true art and true science.”
3015	“It is not that I'm so smart. But I stay with the questions much longer.”
2926	“Creativity is intelligence having fun.”
2854	“The measure of intelligence is the ability to change.”
2792	“The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it.”
2680	“If A is a success in life, then A equals x plus y plus z. Work is x; y is play; and z is keeping your mouth shut”
2674	“Black holes are where God divided by zero.”
2456	“The best way to cheer yourself is to cheer somebody else up.”
2405	“Everything must be made as simple as possible. But not simpler.”
2360	“When you trip over love, it is easy to get up. But when you fall in love, it is impossible to stand again.”
2270	“What is right is not always popular and what is popular is not always right.”
2065	“The pursuit of truth and beauty is a sphere of activity in which we are permitted to remain children all our lives.”
2060	“In the middle of difficulty lies opportunity”
2045	“Whoever is careless with the truth in small matters cannot be trusted with important matters”
1992	“Men marry women with the hope they will never change. Women marry men with the hope they will change. Invariably they are both disappointed.”
1952	“Peace cannot be kept by force; it can only be achieved by understanding.”
1944	“A question that sometimes drives me hazy: am I or are the others crazy?”
1786	“We dance for laughter, we dance for tears, we dance for madness, we dance for fears, we dance for hopes, we dance for screams, we are the dancers, we create the dreams.”
1781	“Imagination is everything. It is the preview of life's coming attractions.”
1647	“If the facts don't fit the theory, change the facts.”
1604	“The important thing is not to stop questioning. Curiosity has its own reason for existing.”
1591	“The woman who follows the crowd will usually go no further than the crowd. The woman who walks alone is likely to find herself in places no one has ever been before.”
1517	“I must be willing to give up what I am in order to become what I will be.”
1503	“Love is a better master than duty.”
1411	“Time is an illusion.”
1398	“It would be possible to describe everything scientifically, but it would make no sense; it would be without meaning, as if you described a Beethoven symphony as a variation of wave pressure.”
1167	“Blind belief in authority is the greatest enemy of truth.”
1122	“Out of clutter, find simplicity.”
